Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
TPHS,Real Estate,66.28M,3.80,44.19,0.89,12.75,-,32.30M,25.82M,54.70%,0.46%,1.99,5.00%,25.50%,-,2.75,14.94%,56.25%,-40.30%,8.40%,9.50%,12.62%,30.21%,30.86%,-14.86%,62.35%,-46.79%,72.59%,60.27,-2.50%,0.66,1.92,-4.22%,6234
TPRE,Financial,941.47M,23.47,1.23,0.63,1.83,22.36,92.61M,81.23M,74.20%,1.10%,2.80,-5.00%,-12.80%,-,0.08,4.28%,2.20%,-13.58%,3.14%,2.82%,-0.59%,1.17%,16.67%,-4.55%,8.87%,-15.32%,72.96%,52.68,1.33%,0.43,9.76,0.15%,22128
TRCH,Energy,157.78M,-,525.94,10.44,525.94,-,98.24M,79.93M,14.40%,8.68%,0.87,-38.20%,-90.90%,0.10,1.13,6.37%,112.79%,168.06%,10.83%,18.01%,2.28%,65.93%,226.65%,-26.05%,448.28%,-26.05%,653.20%,57.44,-1.80%,1.94,1.59,-4.79%,2478452
TREC,Basic Materials,183.68M,-,0.87,0.87,3.42,20.41,24.82M,21.42M,53.70%,0.93%,2.50,3.60%,6.30%,3.20,0.26,9.49%,1.71%,3.32%,4.13%,2.93%,3.62%,3.15%,13.27%,-2.46%,13.98%,-2.46%,68.68%,58.25,0.28%,0.37,7.14,-0.21%,4713
TRIB,Healthcare,122.07M,-,1.35,4.16,-,11.63,20.90M,14.39M,26.70%,0.88%,0.24,-15.00%,-665.10%,3.10,0.00,30.39%,34.45%,402.01%,21.67%,11.23%,24.06%,29.71%,107.06%,-10.52%,94.39%,-10.52%,904.88%,67.60,2.31%,0.51,5.64,0.31%,43015
TRIT,Technology,556.85M,160.93,32.95,0.90,-,-,32.31M,-,30.20%,-,2.15,0.50%,0.60%,0.00,0.00,-1.98%,-36.75%,-29.89%,6.91%,12.47%,-8.94%,-24.67%,-22.97%,-47.13%,25.67%,-47.13%,25.67%,44.67,0.29%,15.19,8.17,18.04%,7825981
TRMD,Energy,544.39M,1.98,0.65,0.52,-,-,74.37M,74.00M,82.66%,0.05%,1.27,-,-,-,-,-1.74%,-5.06%,-15.75%,3.48%,3.43%,-0.87%,1.10%,1.01%,-7.89%,6.59%,-84.73%,17.68%,51.20,0.96%,1.14,7.46,1.93%,5103
TRMT,Real Estate,33.60M,4.12,1.98,0.36,3.05,16.00,8.19M,8.18M,26.20%,0.02%,0.04,2.90%,9.10%,-,2.20,2.56%,5.53%,-21.78%,2.73%,3.22%,0.83%,-0.39%,39.27%,-12.22%,9.70%,-26.42%,176.26%,53.16,1.00%,0.64,4.01,0.12%,4360
TRST,Financial,638.95M,11.97,3.58,1.12,0.66,20.35,96.43M,94.09M,66.20%,1.29%,2.66,1.00%,9.70%,-,0.00,2.52%,-3.56%,-19.95%,2.86%,3.31%,-5.02%,-2.15%,6.57%,-12.45%,6.59%,-21.00%,50.47%,44.12,0.92%,1.77,6.47,-0.46%,129175
TRT,Technology,16.56M,25.81,0.53,0.72,1.44,9.74,3.69M,2.06M,21.00%,0.05%,0.05,1.90%,2.80%,2.90,0.13,5.49%,17.94%,-1.64%,8.46%,7.08%,6.03%,16.52%,34.91%,-13.68%,34.65%,-13.68%,98.78%,59.84,-0.21%,1.59,4.83,0.70%,5475
